model_name,budget,accuracy,invalid_rate,mean_output_tokens,total_score,total_subpasses,token_observations,empty_output_count,empty_output_rate,api_error_count,api_error_rate,non_completed_count,non_completed_rate,incomplete_response_count,incomplete_response_rate,budget_cap_hit_count,budget_cap_hit_rate,reasoning_equals_output_count,reasoning_equals_output_rate,missing_meta_count,missing_meta_rate
gpt-5.2-HighReasoning-B512-informed,512,0.013333333333333334,0.9866666666666667,510.74666666666667,1.0,75,75,73,0.9733333333333334,0,0.0,74,0.9866666666666667,74,0.9866666666666667,74,0.9866666666666667,73,0.9733333333333334,0,0.0
gpt-5.2-HighReasoning-B4096-informed,4096,0.3466666666666667,0.6533333333333333,3454.5066666666667,26.0,75,75,42,0.56,0,0.0,42,0.56,42,0.56,43,0.5733333333333334,42,0.56,0,0.0
gpt-5.2-HighReasoning-B65536-informed,65536,0.7333333333333333,0.2666666666666667,8215.96,55.0,75,75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
